date,Appliances
2016-01-1117:00:00,60
2016-01-1117:10:00,60
2016-01-1117:20:00,50
2016-01-1117:30:00,50
2016-01-1117:40:00,60
2016-01-1117:50:00,50
2016-01-1118:00:00,60
2016-01-1118:10:00,60
2016-01-1118:20:00,60
2016-01-1118:30:00,70
2016-01-1118:40:00,230
2016-01-1118:50:00,580
2016-01-1119:00:00,430
2016-01-1119:10:00,250
2016-01-1119:20:00,100
2016-01-1119:30:00,100
2016-01-1119:40:00,90
2016-01-1119:50:00,70
2016-01-1120:00:00,80
2016-01-1120:10:00,140
2016-01-1120:20:00,120
2016-01-1120:30:00,190
2016-01-1120:40:00,110
2016-01-1120:50:00,110
2016-01-1121:00:00,110
2016-01-1121:10:00,110
2016-01-1121:20:00,100
2016-01-1121:30:00,100
2016-01-1121:40:00,100
2016-01-1121:50:00,100
2016-01-1122:00:00,110
2016-01-1122:10:00,400
2016-01-1122:20:00,400
2016-01-1122:30:00,390
2016-01-1122:40:00,240
2016-01-1122:50:00,60
2016-01-1123:00:00,60
2016-01-1123:10:00,60
2016-01-1123:20:00,50
2016-01-1123:30:00,70
2016-01-1123:40:00,60
2016-01-1123:50:00,40
2016-01-1200:00:00,40
2016-01-1200:10:00,30
2016-01-1200:20:00,40
2016-01-1200:30:00,50
2016-01-1200:40:00,310
2016-01-1200:50:00,380
2016-01-1201:00:00,380
2016-01-1201:10:00,370
2016-01-1201:20:00,120
2016-01-1201:30:00,50
2016-01-1201:40:00,40
2016-01-1201:50:00,50
2016-01-1202:00:00,40
2016-01-1202:10:00,50
2016-01-1202:20:00,50
2016-01-1202:30:00,50
2016-01-1202:40:00,40
2016-01-1202:50:00,40
2016-01-1203:00:00,30
2016-01-1203:10:00,20
2016-01-1203:20:00,20
2016-01-1203:30:00,40
2016-01-1203:40:00,50
2016-01-1203:50:00,50
2016-01-1204:00:00,40
2016-01-1204:10:00,50
2016-01-1204:20:00,40
2016-01-1204:30:00,40
2016-01-1204:40:00,40
2016-01-1204:50:00,60
2016-01-1205:00:00,50
2016-01-1205:10:00,50
2016-01-1205:20:00,40
2016-01-1205:30:00,40
2016-01-1205:40:00,40
2016-01-1205:50:00,40
2016-01-1206:00:00,50
2016-01-1206:10:00,70
2016-01-1206:20:00,40
2016-01-1206:30:00,30
2016-01-1206:40:00,20
2016-01-1206:50:00,30
2016-01-1207:00:00,40
2016-01-1207:10:00,50
2016-01-1207:20:00,60
2016-01-1207:30:00,60
2016-01-1207:40:00,70
2016-01-1207:50:00,60
2016-01-1208:00:00,140
2016-01-1208:10:00,110
2016-01-1208:20:00,90
2016-01-1208:30:00,60
2016-01-1208:40:00,60
2016-01-1208:50:00,60
2016-01-1209:00:00,50
2016-01-1209:10:00,60
2016-01-1209:20:00,50
2016-01-1209:30:00,30
2016-01-1209:40:00,40
2016-01-1209:50:00,30
2016-01-1210:00:00,260
2016-01-1210:10:00,500
2016-01-1210:20:00,450
2016-01-1210:30:00,50
2016-01-1210:40:00,60
2016-01-1210:50:00,60
2016-01-1211:00:00,50
2016-01-1211:10:00,50
2016-01-1211:20:00,50
2016-01-1211:30:00,60
2016-01-1211:40:00,60
2016-01-1211:50:00,60
2016-01-1212:00:00,60
2016-01-1212:10:00,190
2016-01-1212:20:00,220
2016-01-1212:30:00,170
2016-01-1212:40:00,390
2016-01-1212:50:00,90
2016-01-1213:00:00,60
2016-01-1213:10:00,290
2016-01-1213:20:00,130
